cause_event_type,effect_event_type,count
Traveling,Commerce_buy,6
Process_start,Confronting_problem,6
Committing_crime,Confronting_problem,6
Death,Quarreling,6
Hostile_encounter,Legal_rulings,6
Military_operation,Quarreling,6
Cause_change_of_position_on_a_scale,Recording,6
Escaping,Cause_to_amalgamate,6
Death,Conquering,6
Military_operation,Supply,6
Motion,Recovering,6
Defending,Supply,6
Getting,Recording,6
Preventing_or_letting,Departing,6
Attack,Coming_to_believe,6
Use_firearm,Perception_active,6
Destroying,Giving,6
Manufacturing,Destroying,6
Testing,Use_firearm,6
Hostile_encounter,Labeling,6
Process_start,Departing,6
Hostile_encounter,Sending,6
Social_event,Conquering,6
Cause_change_of_position_on_a_scale,Arrest,6
Death,Deciding,6
Arriving,Coming_to_be,6
Coming_to_be,Connect,6
Coming_to_be,Agree_or_refuse_to_act,6
Judgment_communication,Hostile_encounter,6
Process_start,Arranging,6
Cause_change_of_position_on_a_scale,Know,6
Cause_change_of_strength,Attack,6
Violence,Destroying,6
Destroying,Hostile_encounter,6
Military_operation,Creating,6
Assistance,Attack,6
Statement,Agree_or_refuse_to_act,6
Motion_directional,Influence,6
Supply,Competition,6
Change,Hold,6
Control,Cause_to_make_progress,6
Response,Bodily_harm,6
Arriving,Deciding,6
Perception_active,Bodily_harm,6
Presence,Cause_change_of_position_on_a_scale,6
Catastrophe,Preserving,6
Competition,Choosing,6
Arriving,Dispersal,6
Come_together,Process_end,6
Attack,Cause_to_amalgamate,6
Expressing_publicly,Traveling,6
Motion,Deciding,6
Cause_to_make_progress,Killing,6
Presence,Removing,6
Social_event,Damaging,6
Killing,Traveling,6
Emptying,Catastrophe,6
Damaging,Protest,6
Openness,Process_end,6
Social_event,Cause_to_amalgamate,6
Traveling,Arriving,6
Catastrophe,Quarreling,6
Criminal_investigation,Convincing,5
Request,Earnings_and_losses,5
Death,Recording,5
Destroying,Perception_active,5
Arrest,Motion,5
Request,Recovering,5
Request,Change,5
Motion_directional,Creating,5
Conquering,Departing,5
Use_firearm,Institutionalization,5
Use_firearm,Cure,5
Use_firearm,Giving,5
Arrest,Arrest,5
Arrest,Criminal_investigation,5
Receiving,Arriving,5
Process_end,Destroying,5
Social_event,Change_event_time,5
Creating,Name_conferral,5
Arranging,Come_together,5
Competition,Response,5
Earnings_and_losses,Placing,5
Competition,Award,5
Receiving,Attack,5
Earnings_and_losses,Death,5
Creating,Perception_active,5
Sending,Destroying,5
Arranging,Perception_active,5
Preventing_or_letting,Control,5
Action,Process_start,5
Surrounding,Escaping,5
Hostile_encounter,Surrounding,5
Hold,Expansion,5
Social_event,Building,5
Escaping,Placing,5
Agree_or_refuse_to_act,Departing,5
Ingestion,Death,5
Know,Statement,5
Warning,Process_start,5
Convincing,Process_start,5
Getting,Placing,5
Motion,Arranging,5
Change,Choosing,5
Know,Check,5
Removing,Know,5
Removing,Motion,5
Deciding,Expressing_publicly,5
Hindering,Conquering,5
Building,Process_end,5
Recovering,Becoming,5
Attack,Expend_resource,5
Influence,Getting,5
Motion_directional,Request,5
Expansion,Attack,5
Hostile_encounter,Commerce_pay,5
Getting,Hostile_encounter,5
Traveling,Name_conferral,5
Cause_change_of_position_on_a_scale,Hostile_encounter,5
Escaping,Giving,5
Deciding,Destroying,5
Action,Cause_change_of_position_on_a_scale,5
Placing,Killing,5
Sending,Placing,5
Getting,Destroying,5
Arranging,Departing,5
Connect,Destroying,5
Kidnapping,Request,5
Presence,Prison,5
Presence,Giving,5
Kidnapping,Reporting,5
Committing_crime,Reveal_secret,5
Agree_or_refuse_to_act,Legal_rulings,5
Agree_or_refuse_to_act,Killing,5
Agree_or_refuse_to_act,Know,5
Conquering,Know,5
Departing,Defending,5
Departing,Request,5
Arriving,Come_together,5
Process_end,Rescuing,5
Control,Agree_or_refuse_to_act,5
Presence,Legal_rulings,5
Escaping,Agree_or_refuse_to_act,5
Escaping,Request,5
Control,Defending,5
Defending,Killing,5
Conquering,Becoming_a_member,5
Statement,Judgment_communication,5
Bodily_harm,Change,5
Criminal_investigation,Reporting,5
Conquering,Communication,5
Conquering,Besieging,5
Process_start,Recovering,5
Escaping,Cause_change_of_strength,5
Cause_change_of_position_on_a_scale,Self_motion,5
Manufacturing,Death,5
Openness,Killing,5
Killing,Robbery,5
Attack,Perception_active,5
Supply,Supporting,5
Request,Criminal_investigation,5
Defending,Communication,5
Know,Change,5
Patrolling,Know,5
Preventing_or_letting,Killing,5
Bodily_harm,Conquering,5
Dispersal,Arriving,5
Damaging,Bringing,5
Cause_change_of_strength,Escaping,5
Cause_to_amalgamate,Conquering,5
Death,Come_together,5
Sending,Recovering,5
Creating,Building,5
Committing_crime,Legality,5
Motion,Surrendering,5
Bodily_harm,Sending,5
Bodily_harm,Statement,5
Bringing,Destroying,5
Motion,Communication,5
Escaping,Change,5
Know,Arrest,5
Hostile_encounter,Cause_to_be_included,5
Creating,Action,5
Preventing_or_letting,Scrutiny,5
Becoming,Getting,5
Use_firearm,Process_end,5
Cause_change_of_strength,Death,5
Coming_to_be,Change_event_time,5
Getting,Preventing_or_letting,5
Killing,Communication,5
Presence,Getting,5
Self_motion,Supply,5
Escaping,Departing,5
Giving,Killing,5
Request,Placing,5
Sign_agreement,Action,5
Giving,Assistance,5
Conquering,Building,5
Testing,Know,5
Use_firearm,Escaping,5
Choosing,Reporting,5
Escaping,Bodily_harm,5
Killing,Revenge,5
Change,Recovering,5
Preventing_or_letting,Earnings_and_losses,5
Attack,Openness,5
Arranging,Removing,5
Control,Cause_change_of_position_on_a_scale,5
Self_motion,Choosing,5
Bodily_harm,Getting,5
Come_together,Defending,5
Expressing_publicly,Removing,5
Self_motion,Preventing_or_letting,5
Destroying,Reporting,5
Preventing_or_letting,Judgment_communication,5
Action,Arriving,5
Action,Hold,5
Cause_change_of_position_on_a_scale,Bodily_harm,5
Attack,Exchange,5
Becoming,Conquering,5
Conquering,Response,5
Process_start,Temporary_stay,5
Process_start,Cause_to_be_included,5
Change_of_leadership,Cause_to_be_included,5
Protest,Expressing_publicly,5
Hostile_encounter,Scrutiny,5
Come_together,Escaping,5
Choosing,Dispersal,5
Process_start,Create_artwork,5
Supply,Statement,5
Action,Military_operation,5
Catastrophe,Reveal_secret,5
Convincing,Escaping,5
Hostile_encounter,Becoming_a_member,5
Supporting,Self_motion,5
Expressing_publicly,Assistance,5
Hostile_encounter,Expend_resource,5
Military_operation,Hold,5
Military_operation,Defending,5
Death,Response,5
Death,Creating,5
Arranging,Creating,5
Killing,Catastrophe,5
Agree_or_refuse_to_act,Process_start,5
Arranging,Reforming_a_system,5
Reforming_a_system,Change,5
Reforming_a_system,Statement,5
Cause_change_of_position_on_a_scale,Hold,5
Being_in_operation,Expressing_publicly,5
Conquering,Process_start,5
Violence,Robbery,5
Placing,Getting,5
Statement,Action,5
Change_of_leadership,Motion,5
Preventing_or_letting,Destroying,5
Motion_directional,Hostile_encounter,5
Come_together,Preventing_or_letting,5
Cause_change_of_strength,Defending,5
Self_motion,Placing,5
Social_event,Communication,5
Getting,Bodily_harm,5
Judgment_communication,Hindering,5
Judgment_communication,Dispersal,5
Choosing,Removing,5
Hostile_encounter,Social_event,5
Coming_to_be,Quarreling,5
Change,Killing,5
Reporting,Judgment_communication,5
Killing,Check,5
Process_start,Manufacturing,5
Coming_to_be,Emptying,5
Conquering,Change_event_time,5
Change_of_leadership,Judgment_communication,5
Conquering,Cause_to_amalgamate,5
Sign_agreement,Creating,5
Hold,Removing,5
Motion,Openness,5
Catastrophe,Lighting,5
Hostile_encounter,Use_firearm,5
Change_of_leadership,Prison,5
Hostile_encounter,Protest,5
Conquering,Robbery,5
Damaging,Assistance,5
Death,Cause_change_of_position_on_a_scale,5
Arranging,Judgment_communication,5
Judgment_communication,Change_of_leadership,5
Killing,Response,5
Defending,Legal_rulings,5
Violence,GiveUp,5
Social_event,Dispersal,5
Bodily_harm,Process_end,5
Cause_to_amalgamate,Process_end,5
Arriving,Hindering,5
Traveling,Escaping,5
Arranging,Deciding,5
Choosing,Arriving,5
Arranging,Use_firearm,5
Hold,Request,5
Hold,Response,5
Social_event,Quarreling,5
Attack,Patrolling,5
Action,Earnings_and_losses,5
Creating,Choosing,5
Choosing,Escaping,5
Arriving,Request,5
Choosing,Choosing,5
Placing,Cause_change_of_position_on_a_scale,5
Damaging,Preventing_or_letting,5
Damaging,Statement,5
Assistance,Process_end,5
Statement,Conquering,5
Change_of_leadership,Dispersal,5
Filling,Catastrophe,5
Choosing,Earnings_and_losses,5
Know,Use_firearm,5
Know,Surrendering,5
Escaping,Process_start,5
Coming_to_be,Action,5
Escaping,Preventing_or_letting,5
Death,Request,5
Control,Getting,5
Arranging,Motion_directional,5
Besieging,Confronting_problem,5
Rite,Killing,5
Departing,Process_end,5
Departing,Escaping,5
Know,Giving,5
Forming_relationships,Motion,5
Process_start,Publishing,5
Getting,Giving,5
Process_end,Getting,5
Coming_to_be,Criminal_investigation,5
Arriving,Motion_directional,5
Come_together,Competition,5
Violence,Change_sentiment,5
Social_event,Violence,5
Placing,Receiving,5
Scrutiny,Process_end,5
Communication,Giving,5
Cause_to_amalgamate,Becoming,5
Request,Process_start,5
Cause_change_of_position_on_a_scale,Motion_directional,5
Becoming,Change,5
Bringing,Damaging,5
Sending,Surrendering,5
Change,Judgment_communication,5
Use_firearm,Placing,5
Bodily_harm,Placing,5
Change_of_leadership,Getting,5
Coming_to_be,Request,5
Supply,Receiving,5
Perception_active,Motion,5
Traveling,Coming_to_be,5
Influence,Cause_change_of_strength,5
Surrendering,Arriving,5
Placing,Statement,5
Defending,Surrendering,5
Destroying,Removing,5
Conquering,Sending,5
Publishing,Process_end,5
Action,Name_conferral,5
Escaping,Achieve,5
Defending,Process_start,5
Connect,Self_motion,5
Statement,Influence,5
Commerce_sell,Traveling,5
Placing,Reporting,5
Arriving,Reporting,5
Coming_to_be,Rewards_and_punishments,5
Terrorism,Earnings_and_losses,5
Terrorism,Social_event,5
Terrorism,Coming_to_be,5
Conquering,Exchange,5
Creating,Hostile_encounter,5
Control,Cause_change_of_strength,5
Hostile_encounter,Award,5
Getting,Criminal_investigation,5
Traveling,Criminal_investigation,5
Motion_directional,Criminal_investigation,5
Death,Education_teaching,5
Social_event,GiveUp,5
Placing,Hostile_encounter,5
Expressing_publicly,Preventing_or_letting,5
Catastrophe,Arranging,5
Removing,Preventing_or_letting,5
Sign_agreement,Getting,5
Supporting,Hostile_encounter,5
Change,Influence,5
Change,Removing,5
Supply,Bodily_harm,5
Supporting,Social_event,5
Damaging,Removing,5
Hostile_encounter,Research,5
Request,Reporting,5
Cause_to_make_progress,Cause_change_of_position_on_a_scale,5
Self_motion,Connect,5
Action,Cause_change_of_strength,5
Commerce_sell,Military_operation,5
Conquering,Cause_change_of_strength,5
Sending,Self_motion,5
Killing,Earnings_and_losses,5
Emptying,Destroying,5
Expressing_publicly,Motion,5
Social_event,Being_in_operation,5
Change_of_leadership,Cause_change_of_position_on_a_scale,5
Come_together,Getting,5
Creating,Supply,5
Social_event,Hostile_encounter,5
Choosing,Killing,5
Reforming_a_system,Attack,5
Know,Judgment_communication,5
Perception_active,Judgment_communication,5
Supply,Catastrophe,5
Cause_to_make_progress,Getting,5
Response,Know,5
Response,Expressing_publicly,5
Publishing,Publishing,5
Arriving,Warning,5
Hold,Publishing,5
Damaging,Building,5
Damaging,Emptying,5
Damaging,Being_in_operation,5
Cause_change_of_strength,Check,5
Commerce_sell,Expressing_publicly,5
Hostile_encounter,Come_together,5
Traveling,Cause_to_make_progress,5
Departing,Supply,5
Cause_to_make_progress,Dispersal,4
Communication,Judgment_communication,4
Supporting,Destroying,4
Control,Hindering,4
Earnings_and_losses,Change_of_leadership,4
Placing,Hindering,4
Agree_or_refuse_to_act,Hindering,4
Hindering,Placing,4
Criminal_investigation,Rewards_and_punishments,4
Destroying,Hindering,4
Death,Arriving,4
Expansion,Creating,4
Creating,Hindering,4
Commerce_sell,Earnings_and_losses,4
Come_together,Expressing_publicly,4
Arranging,Protest,4
Body_movement,Motion,4
Recovering,Earnings_and_losses,4
Process_start,Body_movement,4
Competition,Judgment_communication,4
Hold,Sending,4
Cause_change_of_position_on_a_scale,Death,4
Cause_change_of_position_on_a_scale,Conquering,4
Preventing_or_letting,Military_operation,4
Influence,Request,4
Request,Arrest,4
Action,Removing,4
Influence,Earnings_and_losses,4
Coming_to_be,Change_of_leadership,4
Legal_rulings,Arrest,4
Rescuing,Award,4
Cause_to_amalgamate,Getting,4
Cause_to_amalgamate,Preventing_or_letting,4
Scrutiny,Bodily_harm,4
Cause_change_of_strength,Process_end,4
Creating,Bodily_harm,4
Agree_or_refuse_to_act,Self_motion,4
Convincing,Creating,4
Cause_change_of_position_on_a_scale,Defending,4
Expressing_publicly,Cause_change_of_position_on_a_scale,4
Choosing,Hostile_encounter,4
Conquering,Hindering,4
Process_end,Cause_to_make_progress,4
Committing_crime,Preventing_or_letting,4
Becoming,Action,4
Killing,Rescuing,4
Arranging,Action,4
Judgment_communication,Assistance,4
Arranging,Rescuing,4
Becoming,Killing,4
Arranging,Know,4
Sign_agreement,Exchange,4
Control,Social_event,4
Arriving,Social_event,4
Departing,Expressing_publicly,4
Testing,Assistance,4
Being_in_operation,Destroying,4
Action,Hostile_encounter,4
Kidnapping,Action,4
Destroying,Judgment_communication,4
Coming_to_be,Testing,4
Attack,Body_movement,4
Use_firearm,Defending,4
Bringing,Resolve_problem,4
Bringing,Cause_change_of_position_on_a_scale,4
Motion_directional,Assistance,4
Coming_to_believe,Attack,4
Cause_change_of_position_on_a_scale,Arranging,4
Self_motion,Check,4
Bodily_harm,Change_event_time,4
Deciding,Change_event_time,4
Change_event_time,Recovering,4
Supporting,Coming_to_be,4
Judgment_communication,Reporting,4
Building,Know,4
Preventing_or_letting,Placing,4
Know,Prison,4
Motion,Confronting_problem,4
Assistance,Recovering,4
Giving,Arriving,4
Being_in_operation,Action,4
Defending,Coming_to_be,4
Process_start,Check,4
Scrutiny,Killing,4
Action,Cause_to_make_progress,4
Change,Conquering,4
Sending,Bringing,4
Sending,Use_firearm,4
Removing,Motion_directional,4
Earnings_and_losses,Arriving,4
Military_operation,Catastrophe,4
Convincing,Agree_or_refuse_to_act,4
Kidnapping,Motion,4
Legality,Prison,4
Legality,Legal_rulings,4
Kidnapping,Giving,4
Committing_crime,Convincing,4
Committing_crime,Scrutiny,4
Attack,Convincing,4
Know,Becoming,4
Hindering,Preventing_or_letting,4
Agree_or_refuse_to_act,Rescuing,4
Change_tool,Rescuing,4
Hold,Attack,4
Hold,Assistance,4
Removing,Becoming,4
Change_of_leadership,Bringing,4
Change_of_leadership,Presence,4
Agree_or_refuse_to_act,Control,4
Control,Bringing,4
Creating,Control,4
Self_motion,Preserving,4
Influence,Self_motion,4
Influence,Bodily_harm,4
Hold,Hostile_encounter,4
Assistance,Use_firearm,4
Attack,Telling,4
Coming_to_be,Military_operation,4
Earnings_and_losses,Self_motion,4
GetReady,Process_end,4
Response,Change_of_leadership,4
Arrest,Process_start,4
Process_start,Cause_to_amalgamate,4
Process_start,Education_teaching,4
Openness,Becoming,4
Use_firearm,Surrendering,4
Expressing_publicly,Destroying,4
Patrolling,Use_firearm,4
Process_start,Supply,4
Testing,Hold,4
Sign_agreement,Escaping,4
Dispersal,Influence,4
Defending,Rescuing,4
Arranging,Change_of_leadership,4
Giving,Self_motion,4
Defending,Cause_change_of_strength,4
Response,Control,4
Control,Motion,4
Dispersal,Damaging,4
Dispersal,Motion,4
Sending,Come_together,4
Know,Process_start,4
Sending,Communication,4
Request,Building,4
Create_artwork,Publishing,4
Self_motion,Warning,4
Death,Sending,4
Destroying,Confronting_problem,4
Sign_agreement,Agree_or_refuse_to_act,4
Openness,Destroying,4
Bringing,Placing,4
Testing,Influence,4
Testing,Change,4
Placing,Removing,4
Openness,Self_motion,4
Manufacturing,Preventing_or_letting,4
Giving,Preventing_or_letting,4
Communication,Statement,4
Defending,Statement,4
Cause_change_of_strength,Influence,4
Killing,Protest,4
Bodily_harm,Committing_crime,4
Coming_to_be,Reveal_secret,4
Recovering,Motion,4
Escaping,Sign_agreement,4
Escaping,Arrest,4
Becoming,Process_end,4
Getting,Creating,4
Earnings_and_losses,Hostile_encounter,4
Departing,Coming_to_believe,4
Recovering,Conquering,4
Destroying,Bringing,4
Destroying,Change_of_leadership,4
Destroying,Expressing_publicly,4
Motion,Bringing,4
Attack,Suspicion,4
Getting,Process_start,4
Control,Action,4
Self_motion,Agree_or_refuse_to_act,4
Destroying,Creating,4
Supply,Attack,4
Defending,Assistance,4
Social_event,Commerce_buy,4
Conquering,Confronting_problem,4
Communication,Defending,4
Request,Commerce_pay,4
Hold,Building,4
Hold,Arranging,4
Self_motion,GetReady,4
Cause_change_of_strength,Killing,4
Conquering,Damaging,4
Change_of_leadership,Process_start,4
Choosing,Self_motion,4
Choosing,Motion,4
Destroying,Surrendering,4
Hostile_encounter,Having_or_lacking_access,4
Hostile_encounter,Coming_to_believe,4
Come_together,Destroying,4
Expressing_publicly,Sending,4
Know,Sending,4
Giving,Action,4
Choosing,Come_together,4
Agree_or_refuse_to_act,Releasing,4
Legal_rulings,Removing,4
Sign_agreement,Commerce_pay,4
Choosing,Know,4
Criminal_investigation,Deciding,4
Request,Hold,4
Request,Hostile_encounter,4
Social_event,Confronting_problem,4
Recording,Expressing_publicly,4
Arriving,Competition,4
Cause_change_of_position_on_a_scale,Expressing_publicly,4
Bringing,Conquering,4
Come_together,Death,4
Cause_change_of_strength,Name_conferral,4
Placing,Defending,4
Request,Destroying,4
Patrolling,Self_motion,4
Control,Robbery,4
Use_firearm,Self_motion,4
Besieging,Attack,4
Creating,Change_event_time,4
Damaging,Escaping,4
Damaging,Departing,4
Control,Response,4
Legal_rulings,Assistance,4
Death,Commerce_sell,4
Agree_or_refuse_to_act,Arrest,4
Assistance,Getting,4
Reforming_a_system,Ratification,4
Reforming_a_system,Coming_to_be,4
Action,Testing,4
Testing,Escaping,4
Request,Scrutiny,4
Attack,Terrorism,4
Becoming,Destroying,4
Know,Getting,4
Judgment_communication,Process_start,4
Change_of_leadership,Influence,4
Committing_crime,Bodily_harm,4
Rescuing,Know,4
Control,Recovering,4
Violence,Dispersal,4
Hold,Coming_to_believe,4
Legality,Killing,4
Request,Cause_to_make_progress,4
Communication,Motion,4
Destroying,Communication,4
Escaping,Death,4
Rewards_and_punishments,Change_event_time,4
Military_operation,Warning,4
Social_event,Choosing,4
Besieging,Removing,4
Choosing,Placing,4
Getting,Dispersal,4
Judgment_communication,Process_end,4
Choosing,Protest,4
Getting,Judgment_communication,4
Choosing,Check,4
Recovering,Arriving,4
Arriving,GetReady,4
Response,Recovering,4
Placing,Conquering,4
Request,Supporting,4
Building,Control,4
Arrest,Cause_to_be_included,4
Violence,Connect,4
Violence,Justifying,4
Violence,Commitment,4
Violence,Quarreling,4
Violence,Cause_to_be_included,4
Violence,Removing,4
Change,Check,4
Change,Criminal_investigation,4
Change,Statement,4
Surrounding,Conquering,4
Presence,Hostile_encounter,4
Earnings_and_losses,Hindering,4
Giving,Expressing_publicly,4
Earnings_and_losses,Expressing_publicly,4
Response,Creating,4
Process_start,Releasing,4
Traveling,Releasing,4
Process_start,Communication,4
Social_event,Cause_change_of_strength,4
Cause_change_of_position_on_a_scale,Preventing_or_letting,4
Cause_change_of_position_on_a_scale,Bringing,4
Damaging,Catastrophe,4
Publishing,Statement,4
Violence,Traveling,4
Besieging,Preventing_or_letting,4
Body_movement,Rescuing,4
Presence,Rescuing,4
Use_firearm,Hostile_encounter,4
Statement,Removing,4
Committing_crime,Self_motion,4
Arriving,Perception_active,4
Employment,Statement,4
Rewards_and_punishments,Releasing,4
Sending,Emptying,4
Action,Choosing,4
Damaging,Earnings_and_losses,4
Military_operation,Cause_to_be_included,4
Damaging,Process_end,4
Destroying,Request,4
Bodily_harm,Removing,4
Openness,Motion,4
Defending,Come_together,4
Defending,Preserving,4
Placing,Request,4
Action,Legal_rulings,4
Response,Attack,4
Giving,Commerce_sell,4
Getting,Expansion,4
Motion,Scrutiny,4
Presence,Becoming,4
Presence,Preserving,4
Presence,Arriving,4
Presence,Change,4
Traveling,Reporting,4
Traveling,Use_firearm,4
Agree_or_refuse_to_act,Cause_change_of_position_on_a_scale,4
Arrest,Legality,4
Hindering,Process_end,4
Coming_to_be,Confronting_problem,4
Attack,Create_artwork,4
Sending,Know,4
Sending,Removing,4
Hostile_encounter,Manufacturing,4
Sending,Agree_or_refuse_to_act,4
Killing,Motion_directional,4
Communication,Destroying,4
Creating,Arranging,4
Bodily_harm,Prison,4
Killing,Writing,4
Attack,GetReady,4
Conquering,Legal_rulings,4
Sign_agreement,Choosing,4
Placing,Placing,4
Attack,Robbery,4
Military_operation,Hindering,4
Legal_rulings,Judgment_communication,4
Arranging,Damaging,4
Come_together,Statement,4
Filling,Death,4
Filling,Motion_directional,4
Being_in_operation,Statement,4
Attack,Legality,4
Coming_to_be,Traveling,4
Surrendering,Conquering,4
Supply,Conquering,4
Surrendering,Bringing,4
Hostile_encounter,Supply,4
Process_end,Surrendering,4
Receiving,Process_end,4
Know,Killing,4
Process_end,Hold,4
Building,Escaping,4
Sending,Testing,4
Becoming,Creating,4
Cause_to_make_progress,Name_conferral,4
Hold,Preserving,4
Death,Destroying,4
Request,Statement,4
Conquering,Name_conferral,4
Come_together,Motion_directional,4
Motion_directional,Connect,4
Receiving,Escaping,4
Motion_directional,Departing,4
Escaping,Temporary_stay,4
Self_motion,Creating,4
Conquering,Assistance,4
Motion_directional,Getting,4
Destroying,Placing,4
Building,Attack,4
Competition,Motion_directional,4
Competition,Check,4
Defending,Response,4
GetReady,Defending,4
Removing,Response,4
Giving,Defending,4
Motion_directional,Earnings_and_losses,4
Request,Cause_to_be_included,4
Change,Name_conferral,4
Preventing_or_letting,Becoming,4
Social_event,Arrest,4
Cause_to_amalgamate,Expansion,4
Warning,Arranging,4
Attack,Commerce_pay,4
Presence,Achieve,4
Attack,Come_together,4
Departing,Reporting,4
Recording,Recording,4
Coming_to_be,Supporting,4
Coming_to_be,GiveUp,4
Cause_to_amalgamate,Cause_change_of_strength,4
Cause_to_amalgamate,Self_motion,4
Know,Coming_to_believe,4
Legal_rulings,Statement,4
Committing_crime,Coming_to_believe,4
Becoming,Sending,4
Defending,Name_conferral,4
Choosing,Request,4
Assistance,Control,4
Process_end,Creating,4
Telling,Judgment_communication,4
Process_start,Rescuing,4
Motion,Supporting,4
Damaging,Hindering,4
Change,Self_motion,4
Warning,Motion,4
Placing,Surrendering,4
Warning,Self_motion,4
Use_firearm,Traveling,4
Recovering,Creating,4
Communication,Hindering,4
Expressing_publicly,Change_of_leadership,4
Competition,Reporting,4
Earnings_and_losses,Cause_change_of_position_on_a_scale,4
Building,Destroying,4
Process_start,Use_firearm,4
Destroying,Sending,4
Traveling,Change_of_leadership,4
Motion,Filling,4
Building,Conquering,4
Use_firearm,Agree_or_refuse_to_act,4
Change,Motion,4
Death,GiveUp,4
Use_firearm,Testing,4
Competition,Wearing,4
Death,Coming_to_be,4
Violence,Military_operation,4
Defending,Creating,4
Self_motion,Becoming_a_member,4
Action,Sending,4
Cause_change_of_strength,Conquering,4
Arriving,Filling,4
Process_start,Besieging,4
Connect,Damaging,4
Hostile_encounter,Releasing,4
Violence,Communication,4
Use_firearm,Violence,4
Receiving,Use_firearm,4
Criminal_investigation,Confronting_problem,4
Damaging,Arriving,4
Sending,Response,4
Presence,Deciding,4
Presence,Resolve_problem,4
Presence,Commerce_sell,4
Supply,Giving,4
Terrorism,Motion,4
Motion,Agree_or_refuse_to_act,4
Scrutiny,Statement,4
Sign_agreement,Arriving,4
Military_operation,Commerce_pay,4
Sign_agreement,Check,4
Sign_agreement,Surrendering,4
Sign_agreement,Recovering,4
Military_operation,Check,4
Getting,Surrendering,4
Change_event_time,Escaping,4
Military_operation,Exchange,4
Conquering,Check,4
Cause_to_make_progress,Arriving,4
Cause_to_make_progress,Creating,4
Education_teaching,Convincing,4
Killing,Convincing,4
Damaging,Surrendering,4
Arranging,Military_operation,4
Creating,Agree_or_refuse_to_act,4
Change,Presence,4
Change,Request,4
Removing,Creating,4
Cause_change_of_position_on_a_scale,Response,4
Supply,Response,4
Military_operation,Motion_directional,4
Bodily_harm,Recovering,4
Catastrophe,Commerce_pay,4
Conquering,Creating,4
Coming_to_be,Defending,4
Preventing_or_letting,Sending,4
Damaging,Coming_to_believe,4
Cause_to_make_progress,Hostile_encounter,4
Motion,Achieve,4
Removing,Killing,4
Sending,Defending,4
Connect,Preventing_or_letting,4
Defending,Hindering,4
Perception_active,Recovering,4
Killing,Reveal_secret,4
Killing,Hiding_objects,4
Competition,Manufacturing,4
Arriving,Expend_resource,4
Process_end,Presence,4
Traveling,Creating,4
Creating,Departing,4
Social_event,Departing,4
Motion,Cause_to_make_progress,4
Presence,Sending,4
Hindering,Bodily_harm,4
Terrorism,Placing,4
Terrorism,Expressing_publicly,4
Terrorism,Giving,4
Killing,Patrolling,4
Social_event,Come_together,4
Forming_relationships,Arriving,4
Education_teaching,Earnings_and_losses,4
Competition,Temporary_stay,4
Dispersal,Destroying,4
Sign_agreement,Change,4
Bodily_harm,Expressing_publicly,4
Research,Social_event,4
Use_firearm,Influence,4
Sending,Scrutiny,4
Publishing,Attack,4
Becoming,Dispersal,4
Creating,Placing,4
Expressing_publicly,Hold,4
Cause_to_make_progress,Cause_to_make_progress,4
Arriving,Bringing,4
Openness,Bodily_harm,4
Cause_to_amalgamate,Attack,4
Destroying,GiveUp,4
Killing,Hold,4
Research,Deciding,4
Statement,Convincing,4
Placing,Convincing,4
Process_start,Preserving,4
Presence,Publishing,4
Cause_to_make_progress,Influence,4
Protest,Resolve_problem,4
Protest,Agree_or_refuse_to_act,4
Protest,Achieve,4
Protest,Response,4
Damaging,Death,4
Creating,Protest,4
Expend_resource,Removing,4
Arranging,Presence,4
Traveling,Removing,4
Arriving,Expansion,4
Quarreling,Arriving,4
Quarreling,Departing,4
Confronting_problem,Death,4
Know,Creating,4
Becoming,Coming_to_be,4
Control,Earnings_and_losses,4
Manufacturing,Receiving,4
Hold,Achieve,4
Killing,Telling,4
Traveling,Influence,4
Escaping,Hold,4
Cause_to_make_progress,Achieve,3
Deciding,Self_motion,3
Arrest,Preventing_or_letting,3
Death,Check,3
Risk,Escaping,3
Risk,Attack,3
Motion,Defending,3
Deciding,Defending,3
Hindering,Death,3
Criminal_investigation,Removing,3
Criminal_investigation,Criminal_investigation,3
Sending,Supply,3
Removing,Supply,3
Reveal_secret,Statement,3
Process_end,Change_event_time,3
Motion_directional,Recording,3
Agree_or_refuse_to_act,Coming_to_be,3
Bodily_harm,Departing,3
Process_end,Expansion,3
Building,Creating,3
Catastrophe,Labeling,3
Deciding,Request,3
Process_end,Judgment_communication,3
Death,Motion,3
Dispersal,Cause_change_of_position_on_a_scale,3
Statement,Expressing_publicly,3
Arranging,Sending,3
Control,Supporting,3
Social_event,Control,3
Earnings_and_losses,Revenge,3
Process_start,Legal_rulings,3
Competition,Quarreling,3
Process_start,Quarreling,3
Motion,Quarreling,3
Quarreling,Legal_rulings,3
Competition,Control,3
Conquering,Releasing,3
Receiving,Motion,3
Hiding_objects,Hindering,3
Death,Cause_change_of_strength,3
Ratification,Process_end,3
Building,Competition,3
Coming_to_be,Award,3
Coming_to_be,Legal_rulings,3
Assistance,Removing,3
Bodily_harm,Rescuing,3
Building,Change,3
Bringing,Change_of_leadership,3
Forming_relationships,Manufacturing,3
Know,Response,3
Escaping,GiveUp,3
Bodily_harm,Change_of_leadership,3
Influence,Traveling,3
Cause_to_amalgamate,Damaging,3
Cause_to_amalgamate,Hostile_encounter,3
Becoming,Escaping,3
Agree_or_refuse_to_act,Hold,3
Bringing,Statement,3
Statement,Attack,3
