cause_event_type,effect_event_type,count,pct_all_causal_relations,pct_of_cause_type
Choosing,Removing,5,0.0094,1.7361
Hostile_encounter,Social_event,5,0.0094,0.1598
Coming_to_be,Quarreling,5,0.0094,0.1401
Change,Killing,5,0.0094,2.1277
Reporting,Judgment_communication,5,0.0094,11.9048
Killing,Check,5,0.0094,0.5128
Process_start,Manufacturing,5,0.0094,0.3831
Coming_to_be,Emptying,5,0.0094,0.1401
Conquering,Change_event_time,5,0.0094,0.6519
Change_of_leadership,Judgment_communication,5,0.0094,0.8850
Conquering,Cause_to_amalgamate,5,0.0094,0.6519
Sign_agreement,Creating,5,0.0094,3.0675
Hold,Removing,5,0.0094,0.8157
Motion,Openness,5,0.0094,0.3855
Catastrophe,Lighting,5,0.0094,0.0451
Hostile_encounter,Use_firearm,5,0.0094,0.1598
Change_of_leadership,Prison,5,0.0094,0.8850
Hostile_encounter,Protest,5,0.0094,0.1598
Conquering,Robbery,5,0.0094,0.6519
Damaging,Assistance,5,0.0094,2.0080
Death,Cause_change_of_position_on_a_scale,5,0.0094,1.0638
Arranging,Judgment_communication,5,0.0094,0.6553
Judgment_communication,Change_of_leadership,5,0.0094,2.0325
Killing,Response,5,0.0094,0.5128
Defending,Legal_rulings,5,0.0094,1.5480
Violence,GiveUp,5,0.0094,1.1494
Social_event,Dispersal,5,0.0094,0.3915
Bodily_harm,Process_end,5,0.0094,1.5625
Cause_to_amalgamate,Process_end,5,0.0094,3.8760
Arriving,Hindering,5,0.0094,0.6640
Traveling,Escaping,5,0.0094,0.4669
Arranging,Deciding,5,0.0094,0.6553
Choosing,Arriving,5,0.0094,1.7361
Arranging,Use_firearm,5,0.0094,0.6553
Hold,Request,5,0.0094,0.8157
Hold,Response,5,0.0094,0.8157
Social_event,Quarreling,5,0.0094,0.3915
Attack,Patrolling,5,0.0094,0.1220
Action,Earnings_and_losses,5,0.0094,1.3477
Creating,Choosing,5,0.0094,0.8576
Choosing,Escaping,5,0.0094,1.7361
Arriving,Request,5,0.0094,0.6640
Choosing,Choosing,5,0.0094,1.7361
Placing,Cause_change_of_position_on_a_scale,5,0.0094,2.0080
Damaging,Preventing_or_letting,5,0.0094,2.0080
Damaging,Statement,5,0.0094,2.0080
Assistance,Process_end,5,0.0094,3.2680
Statement,Conquering,5,0.0094,2.6455
Change_of_leadership,Dispersal,5,0.0094,0.8850
Filling,Catastrophe,5,0.0094,10.8696
Choosing,Earnings_and_losses,5,0.0094,1.7361
Know,Use_firearm,5,0.0094,1.6181
Know,Surrendering,5,0.0094,1.6181
Escaping,Process_start,5,0.0094,1.4493
Coming_to_be,Action,5,0.0094,0.1401
Escaping,Preventing_or_letting,5,0.0094,1.4493
Death,Request,5,0.0094,1.0638
Control,Getting,5,0.0094,1.4045
Arranging,Motion_directional,5,0.0094,0.6553
Besieging,Confronting_problem,5,0.0094,1.8939
Rite,Killing,5,0.0094,27.7778
Departing,Process_end,5,0.0094,2.0576
Departing,Escaping,5,0.0094,2.0576
Know,Giving,5,0.0094,1.6181
Forming_relationships,Motion,5,0.0094,10.6383
Process_start,Publishing,5,0.0094,0.3831
Getting,Giving,5,0.0094,1.4793
Process_end,Getting,5,0.0094,1.7361
Coming_to_be,Criminal_investigation,5,0.0094,0.1401
Arriving,Motion_directional,5,0.0094,0.6640
Come_together,Competition,5,0.0094,2.3041
Violence,Change_sentiment,5,0.0094,1.1494
Social_event,Violence,5,0.0094,0.3915
Placing,Receiving,5,0.0094,2.0080
Scrutiny,Process_end,5,0.0094,5.6818
Communication,Giving,5,0.0094,3.1847
Cause_to_amalgamate,Becoming,5,0.0094,3.8760
Request,Process_start,5,0.0094,1.0941
Cause_change_of_position_on_a_scale,Motion_directional,5,0.0094,1.2853
Becoming,Change,5,0.0094,2.2026
Bringing,Damaging,5,0.0094,3.7594
Sending,Surrendering,5,0.0094,1.8727
Change,Judgment_communication,5,0.0094,2.1277
Use_firearm,Placing,5,0.0094,0.6579
Bodily_harm,Placing,5,0.0094,1.5625
Change_of_leadership,Getting,5,0.0094,0.8850
Coming_to_be,Request,5,0.0094,0.1401
Supply,Receiving,5,0.0094,4.4643
Perception_active,Motion,5,0.0094,5.6180
Traveling,Coming_to_be,5,0.0094,0.4669
Influence,Cause_change_of_strength,5,0.0094,2.3256
Surrendering,Arriving,5,0.0094,5.6818
Placing,Statement,5,0.0094,2.0080
Defending,Surrendering,5,0.0094,1.5480
Destroying,Removing,5,0.0094,1.0593
Conquering,Sending,5,0.0094,0.6519
Publishing,Process_end,5,0.0094,4.3860
Action,Name_conferral,5,0.0094,1.3477
Escaping,Achieve,5,0.0094,1.4493
Defending,Process_start,5,0.0094,1.5480
Connect,Self_motion,5,0.0094,6.0976
Statement,Influence,5,0.0094,2.6455
Commerce_sell,Traveling,5,0.0094,7.3529
Placing,Reporting,5,0.0094,2.0080
Arriving,Reporting,5,0.0094,0.6640
Coming_to_be,Rewards_and_punishments,5,0.0094,0.1401
Terrorism,Earnings_and_losses,5,0.0094,0.8772
Terrorism,Social_event,5,0.0094,0.8772
Terrorism,Coming_to_be,5,0.0094,0.8772
Conquering,Exchange,5,0.0094,0.6519
Creating,Hostile_encounter,5,0.0094,0.8576
Control,Cause_change_of_strength,5,0.0094,1.4045
Hostile_encounter,Award,5,0.0094,0.1598
Getting,Criminal_investigation,5,0.0094,1.4793
Traveling,Criminal_investigation,5,0.0094,0.4669
Motion_directional,Criminal_investigation,5,0.0094,1.4085
Death,Education_teaching,5,0.0094,1.0638
Social_event,GiveUp,5,0.0094,0.3915
Placing,Hostile_encounter,5,0.0094,2.0080
Expressing_publicly,Preventing_or_letting,5,0.0094,2.0325
Catastrophe,Arranging,5,0.0094,0.0451
Removing,Preventing_or_letting,5,0.0094,2.6178
Sign_agreement,Getting,5,0.0094,3.0675
Supporting,Hostile_encounter,5,0.0094,3.6232
Change,Influence,5,0.0094,2.1277
Change,Removing,5,0.0094,2.1277
Supply,Bodily_harm,5,0.0094,4.4643
Supporting,Social_event,5,0.0094,3.6232
Damaging,Removing,5,0.0094,2.0080
Hostile_encounter,Research,5,0.0094,0.1598
Request,Reporting,5,0.0094,1.0941
Cause_to_make_progress,Cause_change_of_position_on_a_scale,5,0.0094,2.3585
Self_motion,Connect,5,0.0094,0.6640
Action,Cause_change_of_strength,5,0.0094,1.3477
Commerce_sell,Military_operation,5,0.0094,7.3529
Conquering,Cause_change_of_strength,5,0.0094,0.6519
Sending,Self_motion,5,0.0094,1.8727
Killing,Earnings_and_losses,5,0.0094,0.5128
Emptying,Destroying,5,0.0094,12.5000
Expressing_publicly,Motion,5,0.0094,2.0325
Social_event,Being_in_operation,5,0.0094,0.3915
Change_of_leadership,Cause_change_of_position_on_a_scale,5,0.0094,0.8850
Come_together,Getting,5,0.0094,2.3041
Creating,Supply,5,0.0094,0.8576
Social_event,Hostile_encounter,5,0.0094,0.3915
Choosing,Killing,5,0.0094,1.7361
Reforming_a_system,Attack,5,0.0094,10.2041
Know,Judgment_communication,5,0.0094,1.6181
Perception_active,Judgment_communication,5,0.0094,5.6180
Supply,Catastrophe,5,0.0094,4.4643
Cause_to_make_progress,Getting,5,0.0094,2.3585
Response,Know,5,0.0094,3.1646
Response,Expressing_publicly,5,0.0094,3.1646
Publishing,Publishing,5,0.0094,4.3860
Arriving,Warning,5,0.0094,0.6640
Hold,Publishing,5,0.0094,0.8157
Damaging,Building,5,0.0094,2.0080
Damaging,Emptying,5,0.0094,2.0080
Damaging,Being_in_operation,5,0.0094,2.0080
Cause_change_of_strength,Check,5,0.0094,1.2658
Commerce_sell,Expressing_publicly,5,0.0094,7.3529
Hostile_encounter,Come_together,5,0.0094,0.1598
Traveling,Cause_to_make_progress,5,0.0094,0.4669
Departing,Supply,5,0.0094,2.0576
Cause_to_make_progress,Dispersal,4,0.0075,1.8868
Communication,Judgment_communication,4,0.0075,2.5478
Supporting,Destroying,4,0.0075,2.8986
Control,Hindering,4,0.0075,1.1236
Earnings_and_losses,Change_of_leadership,4,0.0075,1.2232
Placing,Hindering,4,0.0075,1.6064
Agree_or_refuse_to_act,Hindering,4,0.0075,1.5326
Hindering,Placing,4,0.0075,5.0000
Criminal_investigation,Rewards_and_punishments,4,0.0075,3.3613
Destroying,Hindering,4,0.0075,0.8475
Death,Arriving,4,0.0075,0.8511
Expansion,Creating,4,0.0075,5.1948
Creating,Hindering,4,0.0075,0.6861
Commerce_sell,Earnings_and_losses,4,0.0075,5.8824
Come_together,Expressing_publicly,4,0.0075,1.8433
Arranging,Protest,4,0.0075,0.5242
Body_movement,Motion,4,0.0075,4.4944
Recovering,Earnings_and_losses,4,0.0075,3.9216
Process_start,Body_movement,4,0.0075,0.3065
Competition,Judgment_communication,4,0.0075,0.2686
Hold,Sending,4,0.0075,0.6525
Cause_change_of_position_on_a_scale,Death,4,0.0075,1.0283
Cause_change_of_position_on_a_scale,Conquering,4,0.0075,1.0283
Preventing_or_letting,Military_operation,4,0.0075,1.5564
Influence,Request,4,0.0075,1.8605
Request,Arrest,4,0.0075,0.8753
Action,Removing,4,0.0075,1.0782
Influence,Earnings_and_losses,4,0.0075,1.8605
Coming_to_be,Change_of_leadership,4,0.0075,0.1120
Legal_rulings,Arrest,4,0.0075,5.1948
Rescuing,Award,4,0.0075,10.2564
Cause_to_amalgamate,Getting,4,0.0075,3.1008
Cause_to_amalgamate,Preventing_or_letting,4,0.0075,3.1008
Scrutiny,Bodily_harm,4,0.0075,4.5455
Cause_change_of_strength,Process_end,4,0.0075,1.0127
Creating,Bodily_harm,4,0.0075,0.6861
Agree_or_refuse_to_act,Self_motion,4,0.0075,1.5326
Convincing,Creating,4,0.0075,4.2553
Cause_change_of_position_on_a_scale,Defending,4,0.0075,1.0283
Expressing_publicly,Cause_change_of_position_on_a_scale,4,0.0075,1.6260
Choosing,Hostile_encounter,4,0.0075,1.3889
Conquering,Hindering,4,0.0075,0.5215
Process_end,Cause_to_make_progress,4,0.0075,1.3889
Committing_crime,Preventing_or_letting,4,0.0075,1.4545
Becoming,Action,4,0.0075,1.7621
Killing,Rescuing,4,0.0075,0.4103
Arranging,Action,4,0.0075,0.5242
Judgment_communication,Assistance,4,0.0075,1.6260
Arranging,Rescuing,4,0.0075,0.5242
Becoming,Killing,4,0.0075,1.7621
Arranging,Know,4,0.0075,0.5242
Sign_agreement,Exchange,4,0.0075,2.4540
Control,Social_event,4,0.0075,1.1236
Arriving,Social_event,4,0.0075,0.5312
Departing,Expressing_publicly,4,0.0075,1.6461
Testing,Assistance,4,0.0075,2.6316
Being_in_operation,Destroying,4,0.0075,3.2000
Action,Hostile_encounter,4,0.0075,1.0782
Kidnapping,Action,4,0.0075,2.1622
Destroying,Judgment_communication,4,0.0075,0.8475
Coming_to_be,Testing,4,0.0075,0.1120
Attack,Body_movement,4,0.0075,0.0976
Use_firearm,Defending,4,0.0075,0.5263
Bringing,Resolve_problem,4,0.0075,3.0075
Bringing,Cause_change_of_position_on_a_scale,4,0.0075,3.0075
Motion_directional,Assistance,4,0.0075,1.1268
Coming_to_believe,Attack,4,0.0075,8.1633
Cause_change_of_position_on_a_scale,Arranging,4,0.0075,1.0283
Self_motion,Check,4,0.0075,0.5312
Bodily_harm,Change_event_time,4,0.0075,1.2500
Deciding,Change_event_time,4,0.0075,2.0725
Change_event_time,Recovering,4,0.0075,5.6338
Supporting,Coming_to_be,4,0.0075,2.8986
Judgment_communication,Reporting,4,0.0075,1.6260
Building,Know,4,0.0075,3.1008
Preventing_or_letting,Placing,4,0.0075,1.5564
Know,Prison,4,0.0075,1.2945
Motion,Confronting_problem,4,0.0075,0.3084
Assistance,Recovering,4,0.0075,2.6144
Giving,Arriving,4,0.0075,2.3810
Being_in_operation,Action,4,0.0075,3.2000
Defending,Coming_to_be,4,0.0075,1.2384
Process_start,Check,4,0.0075,0.3065
Scrutiny,Killing,4,0.0075,4.5455
Action,Cause_to_make_progress,4,0.0075,1.0782
Change,Conquering,4,0.0075,1.7021
Sending,Bringing,4,0.0075,1.4981
Sending,Use_firearm,4,0.0075,1.4981
Removing,Motion_directional,4,0.0075,2.0942
Earnings_and_losses,Arriving,4,0.0075,1.2232
Military_operation,Catastrophe,4,0.0075,0.4469
Convincing,Agree_or_refuse_to_act,4,0.0075,4.2553
Kidnapping,Motion,4,0.0075,2.1622
Legality,Prison,4,0.0075,12.1212
Legality,Legal_rulings,4,0.0075,12.1212
Kidnapping,Giving,4,0.0075,2.1622
Committing_crime,Convincing,4,0.0075,1.4545
Committing_crime,Scrutiny,4,0.0075,1.4545
Attack,Convincing,4,0.0075,0.0976
Know,Becoming,4,0.0075,1.2945
Hindering,Preventing_or_letting,4,0.0075,5.0000
Agree_or_refuse_to_act,Rescuing,4,0.0075,1.5326
Change_tool,Rescuing,4,0.0075,40.0000
Hold,Attack,4,0.0075,0.6525
Hold,Assistance,4,0.0075,0.6525
Removing,Becoming,4,0.0075,2.0942
Change_of_leadership,Bringing,4,0.0075,0.7080
Change_of_leadership,Presence,4,0.0075,0.7080
Agree_or_refuse_to_act,Control,4,0.0075,1.5326
Control,Bringing,4,0.0075,1.1236
Creating,Control,4,0.0075,0.6861
Self_motion,Preserving,4,0.0075,0.5312
Influence,Self_motion,4,0.0075,1.8605
Influence,Bodily_harm,4,0.0075,1.8605
Hold,Hostile_encounter,4,0.0075,0.6525
Assistance,Use_firearm,4,0.0075,2.6144
Attack,Telling,4,0.0075,0.0976
Coming_to_be,Military_operation,4,0.0075,0.1120
Earnings_and_losses,Self_motion,4,0.0075,1.2232
GetReady,Process_end,4,0.0075,8.6957
Response,Change_of_leadership,4,0.0075,2.5316
Arrest,Process_start,4,0.0075,1.8779
Process_start,Cause_to_amalgamate,4,0.0075,0.3065
Process_start,Education_teaching,4,0.0075,0.3065
Openness,Becoming,4,0.0075,4.9383
Use_firearm,Surrendering,4,0.0075,0.5263
Expressing_publicly,Destroying,4,0.0075,1.6260
Patrolling,Use_firearm,4,0.0075,8.6957
Process_start,Supply,4,0.0075,0.3065
Testing,Hold,4,0.0075,2.6316
Sign_agreement,Escaping,4,0.0075,2.4540
Dispersal,Influence,4,0.0075,4.2105
Defending,Rescuing,4,0.0075,1.2384
Arranging,Change_of_leadership,4,0.0075,0.5242
Giving,Self_motion,4,0.0075,2.3810
Defending,Cause_change_of_strength,4,0.0075,1.2384
Response,Control,4,0.0075,2.5316
Control,Motion,4,0.0075,1.1236
Dispersal,Damaging,4,0.0075,4.2105
Dispersal,Motion,4,0.0075,4.2105
Sending,Come_together,4,0.0075,1.4981
Know,Process_start,4,0.0075,1.2945
Sending,Communication,4,0.0075,1.4981
Request,Building,4,0.0075,0.8753
Create_artwork,Publishing,4,0.0075,21.0526
Self_motion,Warning,4,0.0075,0.5312
Death,Sending,4,0.0075,0.8511
Destroying,Confronting_problem,4,0.0075,0.8475
Sign_agreement,Agree_or_refuse_to_act,4,0.0075,2.4540
Openness,Destroying,4,0.0075,4.9383
Bringing,Placing,4,0.0075,3.0075
Testing,Influence,4,0.0075,2.6316
Testing,Change,4,0.0075,2.6316
Placing,Removing,4,0.0075,1.6064
Openness,Self_motion,4,0.0075,4.9383
Manufacturing,Preventing_or_letting,4,0.0075,2.9630
Giving,Preventing_or_letting,4,0.0075,2.3810
Communication,Statement,4,0.0075,2.5478
Defending,Statement,4,0.0075,1.2384
Cause_change_of_strength,Influence,4,0.0075,1.0127
Killing,Protest,4,0.0075,0.4103
Bodily_harm,Committing_crime,4,0.0075,1.2500
Coming_to_be,Reveal_secret,4,0.0075,0.1120
Recovering,Motion,4,0.0075,3.9216
Escaping,Sign_agreement,4,0.0075,1.1594
Escaping,Arrest,4,0.0075,1.1594
Becoming,Process_end,4,0.0075,1.7621
Getting,Creating,4,0.0075,1.1834
Earnings_and_losses,Hostile_encounter,4,0.0075,1.2232
Departing,Coming_to_believe,4,0.0075,1.6461
Recovering,Conquering,4,0.0075,3.9216
Destroying,Bringing,4,0.0075,0.8475
Destroying,Change_of_leadership,4,0.0075,0.8475
Destroying,Expressing_publicly,4,0.0075,0.8475
Motion,Bringing,4,0.0075,0.3084
Attack,Suspicion,4,0.0075,0.0976
Getting,Process_start,4,0.0075,1.1834
Control,Action,4,0.0075,1.1236
Self_motion,Agree_or_refuse_to_act,4,0.0075,0.5312
Destroying,Creating,4,0.0075,0.8475
Supply,Attack,4,0.0075,3.5714
Defending,Assistance,4,0.0075,1.2384
Social_event,Commerce_buy,4,0.0075,0.3132
Conquering,Confronting_problem,4,0.0075,0.5215
Communication,Defending,4,0.0075,2.5478
Request,Commerce_pay,4,0.0075,0.8753
Hold,Building,4,0.0075,0.6525
Hold,Arranging,4,0.0075,0.6525
Self_motion,GetReady,4,0.0075,0.5312
Cause_change_of_strength,Killing,4,0.0075,1.0127
Conquering,Damaging,4,0.0075,0.5215
Change_of_leadership,Process_start,4,0.0075,0.7080
Choosing,Self_motion,4,0.0075,1.3889
Choosing,Motion,4,0.0075,1.3889
Destroying,Surrendering,4,0.0075,0.8475
Hostile_encounter,Having_or_lacking_access,4,0.0075,0.1278
Hostile_encounter,Coming_to_believe,4,0.0075,0.1278
Come_together,Destroying,4,0.0075,1.8433
Expressing_publicly,Sending,4,0.0075,1.6260
Know,Sending,4,0.0075,1.2945
Giving,Action,4,0.0075,2.3810
Choosing,Come_together,4,0.0075,1.3889
Agree_or_refuse_to_act,Releasing,4,0.0075,1.5326
Legal_rulings,Removing,4,0.0075,5.1948
Sign_agreement,Commerce_pay,4,0.0075,2.4540
Choosing,Know,4,0.0075,1.3889
Criminal_investigation,Deciding,4,0.0075,3.3613
Request,Hold,4,0.0075,0.8753
Request,Hostile_encounter,4,0.0075,0.8753
Social_event,Confronting_problem,4,0.0075,0.3132
Recording,Expressing_publicly,4,0.0075,8.8889
Arriving,Competition,4,0.0075,0.5312
Cause_change_of_position_on_a_scale,Expressing_publicly,4,0.0075,1.0283
Bringing,Conquering,4,0.0075,3.0075
Come_together,Death,4,0.0075,1.8433
Cause_change_of_strength,Name_conferral,4,0.0075,1.0127
Placing,Defending,4,0.0075,1.6064
Request,Destroying,4,0.0075,0.8753
Patrolling,Self_motion,4,0.0075,8.6957
Control,Robbery,4,0.0075,1.1236
Use_firearm,Self_motion,4,0.0075,0.5263
Besieging,Attack,4,0.0075,1.5152
Creating,Change_event_time,4,0.0075,0.6861
Damaging,Escaping,4,0.0075,1.6064
Damaging,Departing,4,0.0075,1.6064
Control,Response,4,0.0075,1.1236
Legal_rulings,Assistance,4,0.0075,5.1948
Death,Commerce_sell,4,0.0075,0.8511
Agree_or_refuse_to_act,Arrest,4,0.0075,1.5326
Assistance,Getting,4,0.0075,2.6144
Reforming_a_system,Ratification,4,0.0075,8.1633
Reforming_a_system,Coming_to_be,4,0.0075,8.1633
Action,Testing,4,0.0075,1.0782
Testing,Escaping,4,0.0075,2.6316
Request,Scrutiny,4,0.0075,0.8753
Attack,Terrorism,4,0.0075,0.0976
Becoming,Destroying,4,0.0075,1.7621
Know,Getting,4,0.0075,1.2945
Judgment_communication,Process_start,4,0.0075,1.6260
Change_of_leadership,Influence,4,0.0075,0.7080
Committing_crime,Bodily_harm,4,0.0075,1.4545
Rescuing,Know,4,0.0075,10.2564
Control,Recovering,4,0.0075,1.1236
Violence,Dispersal,4,0.0075,0.9195
Hold,Coming_to_believe,4,0.0075,0.6525
Legality,Killing,4,0.0075,12.1212
Request,Cause_to_make_progress,4,0.0075,0.8753
Communication,Motion,4,0.0075,2.5478
Destroying,Communication,4,0.0075,0.8475
Escaping,Death,4,0.0075,1.1594
Rewards_and_punishments,Change_event_time,4,0.0075,16.6667
Military_operation,Warning,4,0.0075,0.4469
Social_event,Choosing,4,0.0075,0.3132
Besieging,Removing,4,0.0075,1.5152
Choosing,Placing,4,0.0075,1.3889
Getting,Dispersal,4,0.0075,1.1834
Judgment_communication,Process_end,4,0.0075,1.6260
Choosing,Protest,4,0.0075,1.3889
Getting,Judgment_communication,4,0.0075,1.1834
Choosing,Check,4,0.0075,1.3889
Recovering,Arriving,4,0.0075,3.9216
Arriving,GetReady,4,0.0075,0.5312
Response,Recovering,4,0.0075,2.5316
Placing,Conquering,4,0.0075,1.6064
Request,Supporting,4,0.0075,0.8753
Building,Control,4,0.0075,3.1008
Arrest,Cause_to_be_included,4,0.0075,1.8779
Violence,Connect,4,0.0075,0.9195
Violence,Justifying,4,0.0075,0.9195
Violence,Commitment,4,0.0075,0.9195
Violence,Quarreling,4,0.0075,0.9195
Violence,Cause_to_be_included,4,0.0075,0.9195
Violence,Removing,4,0.0075,0.9195
Change,Check,4,0.0075,1.7021
Change,Criminal_investigation,4,0.0075,1.7021
Change,Statement,4,0.0075,1.7021
Surrounding,Conquering,4,0.0075,12.1212
Presence,Hostile_encounter,4,0.0075,0.7055
Earnings_and_losses,Hindering,4,0.0075,1.2232
Giving,Expressing_publicly,4,0.0075,2.3810
Earnings_and_losses,Expressing_publicly,4,0.0075,1.2232
Response,Creating,4,0.0075,2.5316
Process_start,Releasing,4,0.0075,0.3065
Traveling,Releasing,4,0.0075,0.3735
Process_start,Communication,4,0.0075,0.3065
Social_event,Cause_change_of_strength,4,0.0075,0.3132
Cause_change_of_position_on_a_scale,Preventing_or_letting,4,0.0075,1.0283
Cause_change_of_position_on_a_scale,Bringing,4,0.0075,1.0283
Damaging,Catastrophe,4,0.0075,1.6064
Publishing,Statement,4,0.0075,3.5088
Violence,Traveling,4,0.0075,0.9195
Besieging,Preventing_or_letting,4,0.0075,1.5152
Body_movement,Rescuing,4,0.0075,4.4944
Presence,Rescuing,4,0.0075,0.7055
Use_firearm,Hostile_encounter,4,0.0075,0.5263
Statement,Removing,4,0.0075,2.1164
Committing_crime,Self_motion,4,0.0075,1.4545
Arriving,Perception_active,4,0.0075,0.5312
Employment,Statement,4,0.0075,9.5238
Rewards_and_punishments,Releasing,4,0.0075,16.6667
Sending,Emptying,4,0.0075,1.4981
Action,Choosing,4,0.0075,1.0782
Damaging,Earnings_and_losses,4,0.0075,1.6064
Military_operation,Cause_to_be_included,4,0.0075,0.4469
Damaging,Process_end,4,0.0075,1.6064
Destroying,Request,4,0.0075,0.8475
Bodily_harm,Removing,4,0.0075,1.2500
Openness,Motion,4,0.0075,4.9383
Defending,Come_together,4,0.0075,1.2384
Defending,Preserving,4,0.0075,1.2384
Placing,Request,4,0.0075,1.6064
Action,Legal_rulings,4,0.0075,1.0782
Response,Attack,4,0.0075,2.5316
Giving,Commerce_sell,4,0.0075,2.3810
Getting,Expansion,4,0.0075,1.1834
Motion,Scrutiny,4,0.0075,0.3084
Presence,Becoming,4,0.0075,0.7055
Presence,Preserving,4,0.0075,0.7055
Presence,Arriving,4,0.0075,0.7055
Presence,Change,4,0.0075,0.7055
Traveling,Reporting,4,0.0075,0.3735
Traveling,Use_firearm,4,0.0075,0.3735
Agree_or_refuse_to_act,Cause_change_of_position_on_a_scale,4,0.0075,1.5326
Arrest,Legality,4,0.0075,1.8779
Hindering,Process_end,4,0.0075,5.0000
Coming_to_be,Confronting_problem,4,0.0075,0.1120
Attack,Create_artwork,4,0.0075,0.0976
Sending,Know,4,0.0075,1.4981
Sending,Removing,4,0.0075,1.4981
Hostile_encounter,Manufacturing,4,0.0075,0.1278
Sending,Agree_or_refuse_to_act,4,0.0075,1.4981
Killing,Motion_directional,4,0.0075,0.4103
Communication,Destroying,4,0.0075,2.5478
Creating,Arranging,4,0.0075,0.6861
Bodily_harm,Prison,4,0.0075,1.2500
Killing,Writing,4,0.0075,0.4103
Attack,GetReady,4,0.0075,0.0976
Conquering,Legal_rulings,4,0.0075,0.5215
Sign_agreement,Choosing,4,0.0075,2.4540
Placing,Placing,4,0.0075,1.6064
Attack,Robbery,4,0.0075,0.0976
Military_operation,Hindering,4,0.0075,0.4469
Legal_rulings,Judgment_communication,4,0.0075,5.1948
Arranging,Damaging,4,0.0075,0.5242
Come_together,Statement,4,0.0075,1.8433
Filling,Death,4,0.0075,8.6957
Filling,Motion_directional,4,0.0075,8.6957
Being_in_operation,Statement,4,0.0075,3.2000
Attack,Legality,4,0.0075,0.0976
Coming_to_be,Traveling,4,0.0075,0.1120
Surrendering,Conquering,4,0.0075,4.5455
Supply,Conquering,4,0.0075,3.5714
Surrendering,Bringing,4,0.0075,4.5455
Hostile_encounter,Supply,4,0.0075,0.1278
Process_end,Surrendering,4,0.0075,1.3889
Receiving,Process_end,4,0.0075,4.2553
Know,Killing,4,0.0075,1.2945
Process_end,Hold,4,0.0075,1.3889
Building,Escaping,4,0.0075,3.1008
Sending,Testing,4,0.0075,1.4981
Becoming,Creating,4,0.0075,1.7621
Cause_to_make_progress,Name_conferral,4,0.0075,1.8868
Hold,Preserving,4,0.0075,0.6525
Death,Destroying,4,0.0075,0.8511
Request,Statement,4,0.0075,0.8753
Conquering,Name_conferral,4,0.0075,0.5215
Come_together,Motion_directional,4,0.0075,1.8433
Motion_directional,Connect,4,0.0075,1.1268
Receiving,Escaping,4,0.0075,4.2553
Motion_directional,Departing,4,0.0075,1.1268
Escaping,Temporary_stay,4,0.0075,1.1594
Self_motion,Creating,4,0.0075,0.5312
Conquering,Assistance,4,0.0075,0.5215
Motion_directional,Getting,4,0.0075,1.1268
Destroying,Placing,4,0.0075,0.8475
Building,Attack,4,0.0075,3.1008
Competition,Motion_directional,4,0.0075,0.2686
Competition,Check,4,0.0075,0.2686
Defending,Response,4,0.0075,1.2384
GetReady,Defending,4,0.0075,8.6957
Removing,Response,4,0.0075,2.0942
Giving,Defending,4,0.0075,2.3810
Motion_directional,Earnings_and_losses,4,0.0075,1.1268
Request,Cause_to_be_included,4,0.0075,0.8753
Change,Name_conferral,4,0.0075,1.7021
Preventing_or_letting,Becoming,4,0.0075,1.5564
Social_event,Arrest,4,0.0075,0.3132
Cause_to_amalgamate,Expansion,4,0.0075,3.1008
Warning,Arranging,4,0.0075,5.2632
Attack,Commerce_pay,4,0.0075,0.0976
Presence,Achieve,4,0.0075,0.7055
Attack,Come_together,4,0.0075,0.0976
Departing,Reporting,4,0.0075,1.6461
Recording,Recording,4,0.0075,8.8889
Coming_to_be,Supporting,4,0.0075,0.1120
Coming_to_be,GiveUp,4,0.0075,0.1120
Cause_to_amalgamate,Cause_change_of_strength,4,0.0075,3.1008
Cause_to_amalgamate,Self_motion,4,0.0075,3.1008
Know,Coming_to_believe,4,0.0075,1.2945
Legal_rulings,Statement,4,0.0075,5.1948
Committing_crime,Coming_to_believe,4,0.0075,1.4545
Becoming,Sending,4,0.0075,1.7621
Defending,Name_conferral,4,0.0075,1.2384
Choosing,Request,4,0.0075,1.3889
Assistance,Control,4,0.0075,2.6144
Process_end,Creating,4,0.0075,1.3889
Telling,Judgment_communication,4,0.0075,8.5106
Process_start,Rescuing,4,0.0075,0.3065
Motion,Supporting,4,0.0075,0.3084
Damaging,Hindering,4,0.0075,1.6064
Change,Self_motion,4,0.0075,1.7021
Warning,Motion,4,0.0075,5.2632
Placing,Surrendering,4,0.0075,1.6064
Warning,Self_motion,4,0.0075,5.2632
Use_firearm,Traveling,4,0.0075,0.5263
Recovering,Creating,4,0.0075,3.9216
Communication,Hindering,4,0.0075,2.5478
Expressing_publicly,Change_of_leadership,4,0.0075,1.6260
Competition,Reporting,4,0.0075,0.2686
Earnings_and_losses,Cause_change_of_position_on_a_scale,4,0.0075,1.2232
Building,Destroying,4,0.0075,3.1008
Process_start,Use_firearm,4,0.0075,0.3065
Destroying,Sending,4,0.0075,0.8475
Traveling,Change_of_leadership,4,0.0075,0.3735
Motion,Filling,4,0.0075,0.3084
Building,Conquering,4,0.0075,3.1008
Use_firearm,Agree_or_refuse_to_act,4,0.0075,0.5263
Change,Motion,4,0.0075,1.7021
Death,GiveUp,4,0.0075,0.8511
Use_firearm,Testing,4,0.0075,0.5263
